address,city,zip,beds,baths,sqft,year,saleprice,zestimate,rent,type,hoa,tax,apprec,url
,atlanta,30318,3.0,4.0,1360,2010.0,269000,"['""zestimate"":260841']","['""rentZestimate"":1799']",townhouse,"['HOA Fee"",""factValue"":""$26']","2017 $3,974 +58.1% $57,280 --","$287,369 (+10.2 %)",https://www.zillow.com/homedetails/3034-Liberty-Way-NW-Atlanta-GA-30318/112434408_zpid/
,atlanta,30331,,,,,225915,"['""zestimate"":221645']",[],"mon - sat: 10:30 am - 6pm, sun - : 12pm - 6pm",[],,Unavailable,https://www.zillow.com/homedetails/3750-Portsmouth-Way-Atlanta-GA-30331/171484788_zpid/
,atlanta,30315,3.0,2.5,2300,2018.0,214900,"['""zestimate"":206270']","['""rentZestimate"":1600']",single family,[],,"-$5,282 (-2.5 %)",https://www.zillow.com/homedetails/1787-Maple-Walk-Cir-SW-Atlanta-GA-30315/2094019056_zpid/
,atlanta,30309,2.0,2.0,1108,1975.0,240000,"['""zestimate"":270586']","['""rentZestimate"":1700']",townhouse,"['HOA Fee"",""factValue"":""$26']",,"+$3,401 (+1.3 %)",https://www.zillow.com/homedetails/136-Peachtree-Memorial-Dr-NW-APT-GA5-Atlanta-GA-30309/2087582810_zpid/
,atlanta,30311,3.0,3.0,1800,1980.0,159900,"['""zestimate"":153542']","['""rentZestimate"":1250']",single family,[],"2017 $679 +29.7% $16,560 --","$173,134 (+12.8 %)",https://www.zillow.com/homedetails/2152-Maxwell-Dr-SW-Atlanta-GA-30311/35867195_zpid/
,atlanta,30331,5.0,3.0,3087,2005.0,234900,"['""zestimate"":231819']","['""rentZestimate"":1911']",single family,"['HOA Fee"",""factValue"":""$33']","2017 $1,494 +18.8% $51,760 --","$247,838 (+6.9 %)",https://www.zillow.com/homedetails/2431-Gilbert-Dr-SW-Atlanta-GA-30331/69381268_zpid/
,atlanta,30331,,,,,263900,"['""zestimate"":275203']","['""rentZestimate"":1895']","hours: monday- thursday: 11am-6pm, friday by appointment only.saturday is 10am-6pm, sunday:",[],,"+$8,264 (+3.1 %)",https://www.zillow.com/community/cambridge-meadows/2087935175_zpid/
,atlanta,30331,4.0,3.0,2056,1996.0,187000,"['""zestimate"":188107']","['""rentZestimate"":1500']",single family,"['HOA Fee"",""factValue"":""$16']","2017 $997 +10.8% $48,040 --","$200,428 (+6.5 %)",https://www.zillow.com/homedetails/4900-Promenade-Dr-SW-Atlanta-GA-30331/35889145_zpid/
,atlanta,30331,5.0,5.0,3946,2001.0,285900,"['""zestimate"":350914']","['""rentZestimate"":2195']",single family,[],"2017 $2,978 +37.2% $78,920 --","$362,880 (+3.4 %)",https://www.zillow.com/homedetails/290-Sheffield-Ct-SW-Atlanta-GA-30331/65463322_zpid/
,atlanta,30336,3.0,3.0,--,2019.0,194900,"['""zestimate"":185698']","['""rentZestimate"":1295']",condo,[],,"-$10,071 (-5.1 %)",https://www.zillow.com/homedetails/5437-Cascade-Rdg-SW-Atlanta-GA-30336/2087193814_zpid/
,atlanta,30317,2.0,2.0,6554,1990.0,259900,"['""zestimate"":408773']","['""rentZestimate"":1799']",single family,"['HOA Fee"",""factValue"":""$90']",,"+$92,168 (+29.1 %)",https://www.zillow.com/homedetails/198-Clay-St-SE-APT-E-Atlanta-GA-30317/2088706340_zpid/
,atlanta,30331,,,,,283900,"['""zestimate"":269982']","['""rentZestimate"":1845']","hours: monday- thursday: 11am-6pm, friday by appointment only.saturday is 10am-6pm, sunday:",[],,"-$4,556 (-1.7 %)",https://www.zillow.com/community/cambridge-meadows/2087935182_zpid/
,atlanta,30331,5.0,3.0,2698,2018.0,279900,"['""zestimate"":227714']","['""rentZestimate"":1619']",single family,"['HOA Fee"",""factValue"":""$41']",,"+$2,427 (+1.1 %)",https://www.zillow.com/homedetails/2717-Milestone-Way-18-Atlanta-GA-30331/2087088052_zpid/
,atlanta,30331,4.0,3.0,--,2018.0,211200,"['""zestimate"":184653']",[],single family,"['HOA Fee"",""factValue"":""$33']","2017 $313 -3% $5,480 -46.9%",+$44 (+0.0 %),https://www.zillow.com/homedetails/3768-Portsmouth-Way-Atlanta-GA-30331/171484791_zpid/
,atlanta,30314,3.0,2.0,1638,2006.0,245000,"['""zestimate"":175711']","['""rentZestimate"":1299']",single family,[],,"-$1,548 (-0.9 %)",https://www.zillow.com/homedetails/1395-Rome-Dr-NW-0-Atlanta-GA-30314/2088640347_zpid/
,atlanta,30331,,,,,287900,"['""zestimate"":286836']","['""rentZestimate"":1895']","hours: monday- thursday: 11am-6pm, friday by appointment only.saturday is 10am-6pm, sunday:",[],,"-$6,738 (-2.3 %)",https://www.zillow.com/community/cambridge-meadows/2087935159_zpid/
,atlanta,30331,3.0,6.0,1305,1955.0,129000,"['""zestimate"":139444']","['""rentZestimate"":1245']",single family,[],"2017 $1,183 +96% $12,760 --","-$8,150 (-5.5 %)",https://www.zillow.com/homedetails/2308-Palmetto-Ave-SW-Atlanta-GA-30331/35875183_zpid/
,atlanta,30354,3.0,2.0,1242,1962.0,199900,"['""zestimate"":89121']","['""rentZestimate"":1125']",single family,[],"2017 $1,198 +132.3% $15,880 --","$96,973 (+8.8 %)",https://www.zillow.com/homedetails/498-Oak-Dr-SE-Atlanta-GA-30354/35875545_zpid/
,atlanta,30318,4.0,2.0,1900,1965.0,225000,"['""zestimate"":184886']","['""rentZestimate"":1197']",single family,[],"2017 $816 -0.1% $7,880 --","$207,128 (+12.0 %)",https://www.zillow.com/homedetails/705-Cedar-Ave-NW-Atlanta-GA-30318/35856690_zpid/
,atlanta,30331,,,,,320900,"['""zestimate"":318516']","['""rentZestimate"":2160']","hours: monday- thursday: 11am-6pm, friday by appointment only.saturday is 10am-6pm, sunday:",[],,"+$1,846 (+0.6 %)",https://www.zillow.com/community/cambridge-meadows/2087935167_zpid/
,atlanta,30315,3.0,3.0,2414,2018.0,284000,"['""zestimate"":149836']",[],single family,"['HOA Fee"",""factValue"":""$37']","2017 $351 +82.6% $4,440 --","-$11,081 (-6.9 %)",https://www.zillow.com/homedetails/675-Mcwilliams-Rd-SE-Atlanta-GA-30315/171414753_zpid/
,atlanta,30310,3.0,2.0,1440,1960.0,279900,"['""zestimate"":252448']","['""rentZestimate"":1100']",single family,[],"2017 $1,503 +70.2% $7,964 +0.1%","+$89,129 (+54.6 %)",https://www.zillow.com/homedetails/1725-Shirley-St-SW-Atlanta-GA-30310/35854725_zpid/
,atlanta,30331,,,,,210120,"['""zestimate"":173294']",[],"mon - sat: 10:30 am - 6pm, sun - : 12pm - 6pm",[],,"-$2,627 (-1.5 %)",https://www.zillow.com/homedetails/3711-Hampshire-Walk-Atlanta-GA-30331/171484805_zpid/
,atlanta,30324,3.0,2.0,1054,1955.0,318900,"['""zestimate"":329716']","['""rentZestimate"":1863']",single family,[],"2017 $5,385 +59.4% $96,000 --","$345,378 (+4.8 %)",https://www.zillow.com/homedetails/2059-Lenox-Rd-NE-Atlanta-GA-30324/35927084_zpid/
,atlanta,30309,2.0,2.0,1028,1989.0,290000,"['""zestimate"":287738']","['""rentZestimate"":1675']",condo,"['HOA Fee"",""factValue"":""$40']",,"-$115,585 (-28.7 %)",https://www.zillow.com/homedetails/1280-W-Peachtree-St-NW-APT-1706-Atlanta-GA-30309/2086580708_zpid/
,atlanta,30318,3.0,4.0,1360,2010.0,269000,"['""zestimate"":260841']","['""rentZestimate"":1799']",townhouse,"['HOA Fee"",""factValue"":""$26']","2017 $3,974 +58.1% $57,280 --","$287,369 (+10.2 %)",https://www.zillow.com/homedetails/3034-Liberty-Way-NW-Atlanta-GA-30318/112434408_zpid/
,atlanta,30331,,,,,225915,"['""zestimate"":221645']",[],"mon - sat: 10:30 am - 6pm, sun - : 12pm - 6pm",[],,Unavailable,https://www.zillow.com/homedetails/3750-Portsmouth-Way-Atlanta-GA-30331/171484788_zpid/
,atlanta,30315,3.0,2.5,2300,2018.0,214900,"['""zestimate"":206270']","['""rentZestimate"":1600']",single family,[],,"-$5,282 (-2.5 %)",https://www.zillow.com/homedetails/1787-Maple-Walk-Cir-SW-Atlanta-GA-30315/2094019056_zpid/
